является, є
россии, росії
работы, роботи
компании, компанії
области, області
жизни, життя
страны, країни
поэтому, тому
сша, сша
людей, людей
республики, республіки
место, місце
случае, випадку
города, міста
человека, людини
словам, словами
должны, повинні
имеет, має
среди, серед
часть, частина
свой, свій
вместе, разом
связи, зв'язку
необходимо, необхідно
стороны, боку
новости, новини
вопрос, питання
компания, компанія
либо, або
таким, таким
интернет, інтернет
возможность, можливість
образом, чином
детей, дітей
развития, розвитку
должен, повинен
новый, новий
например, наприклад
системы, системи
власти, влади
дома, будинки
заявил, заявив
дело, справа
многие, багато
участие, участь
стоит, варто
решение, рішення
работу, роботу
президент, президент
нашей, нашій
территории, території
информации, інформації
количество, кількість
сделать, зробити
течение, течія
дня, дня
стран, країн
таких, таких
Таджикистана, Таджикистану
организации, організації
Украины, України
части, частини
результате, внаслідок
стали, стали
момент, момент
деятельности, діяльності
президента, президента
находится, знаходиться
числе, числі
годы, роки
городе, місті
стране, країні
сразу, відразу
купить, купити
новые, нові
можете, можете
сообщает, повідомляє
пресс, прес
Грузии, Грузії
внимание, увага
качестве, як
период, період
своим, своїм
одна, одна
город, місто
одним, одним
некоторые, деякі
которое, яке
благодаря, завдяки
дней, днів
мире, світі
составляет, становить
следует, слідує
ним, ним
вообще, взагалі
отметил, зазначив
согласно, згідно
возможно, можливо
новых, нових
помощью, допомогою
деньги, гроші
ранее, раніше
большой, великий
истории, історії
тыс, тис
группы, групи
данным, даними
нового, нового
самых, самих
управления, управління
найти, знайти
являются, є
вопросы, питання
безопасности, безпеки
достаточно, досить
рамках, рамках
работа, робота
населения, населення
государства, держави
сайте, сайті
дом, дім
стало, стало
партии, партії
месте, місці
мая, травня
полностью, повністю
услуги, послуги
проблемы, проблеми
котором, якому
войны, війни
Россия, Росія
сентября, вересня
декабря, грудня
марта, березня
октября, жовтня
какие, які
конце, кінці
получить, отримати
программы, програми
стала, стала
должна, повинна
долларов, доларів
июня, червень
последние, останні
поскольку, оскільки
делать, робити
июля, липень
января, січня
позволяет, дозволяє
глава, глава
места, місця
многих, багатьох
центр, центр
наших, наших
проект, проект
система, система
цены, ціни
настоящее, нині
мир, світ
работе, роботі
сообщил, повідомив
практически, практично
воды, води
апреля, квітня
очередь, чергу
сайт, сайт
возможности, можливості
всей, всій
работать, працювати
имеют, мають
различных, різних
решения, рішення
средств, коштів
проекта, проекту
несмотря, незважаючи
никто, ніхто
которую, яку
помощи, допомоги
ноября, листопада
быстро, швидко
августа, серпня
игры, ігри
министр, міністр
право, право
одно, одне
друг, друг
использовать, використовувати
слова, слова
счет, рахунок
образования, освіти
стать, стати
самый, самий
данных, даних
Москве, Москве
российской, російської
права, права
виде, вигляді
правительства, уряду
уровень, рівень
такого, такого
самым, самим
любой, будь-який
бизнес, бізнес
мнению, думку
рынке, ринку
района, району
информацию, інформацію
роль, роль
века, століття
сфере, сфері
история, історія
стоимость, вартість
совета, ради
идет, йде
культуры, культури
Таджикистан, Таджикистан
услуг, послуг
первой, першій
самое, саме
районе, районі
работает, працює
центра, центру
часов, годин
суд, суд
сети, мережі
получил, отримав
премьер, прем'єр
информация, інформація
данный, даний
частности, зокрема
центре, центрі
евро, євро
процесс, процес
средства, кошти
считает, вважає
впервые, вперше
минут, хвилин
известно, відомо
условиях, умовах
разных, різних
новой, нової
действия, дії
данные, дані
рублей, рублів
удалось, вдалося
производства, виробництва
службы, служби
существует, існує
происходит, відбувається
состав, склад
отношения, відносини
срок, термін
СССР, СРСР
февраля, лютого
развитие, розвиток
прежде, перш
ситуации, ситуації
выше, вище
основе, основі
граждан, громадян
месяцев, місяців
большинство, більшість
группа, група
своем, своєму
которым, яким
первых, перших
помощь, допомога
сайта, сайту
целью, метою
станет, стане
компаний, компаній
общества, суспільства
узнать, дізнатися
пути, шляху
школы, школи
самые, самі
первого, першого
постоянно, постійно
представители, представники
СМИ, ЗМІ
нашего, нашого
млрд, млрд
дети, діти
название, назва
дела, справи
правда, правда
число, число
работ, робіт
деятельность, діяльність
становится, стає
правительство, уряд
думаю, думаю
первые, перші
ребенка, дитини
трех, трьох
Украине, Україні
Узбекистана, Узбекистану
имени, імені
рынка, ринку
своими, своїми
говорят, кажуть
ряд, ряд
команды, команди
каждого, кожного
главное, головне
Европы, Європи
условия, умови
примерно, приблизно
лица, особи
первую, першу
уровня, рівня
результаты, результати
изменения, зміни
жителей, жителів
нескольких, декількох
соответствии, відповідно
одном, одному
проблем, проблем
объявления, оголошення
движения, руху
продукции, продукції
некоторых, деяких
цена, ціна
фото, фото
говорить, говорити
вид, вид
женщин, жінок
легко, легко
силы, сили
раза, рази
лиц, осіб
совершенно, цілковито
строительство, будівництво
основном, основному
вновь, знову
отношении, відношенні
земли, землі
вполне, цілком
видео, відео
банка, банку
проведения, проведення
участников, учасників
могли, могли
могу, можу
качества, якості
предприятия, підприємства
добавить, додати
опыт, досвід
экономики, економіки
Москва, Москва
Германии, Німеччині
список, список
речь, мова
конца, кінця
рост, зріст
важно, важливо
странах, країнах
директор, директор
номер, номер
одну, одну
км, км
денег, грошей
женщины, жінки
первым, першим
рынок, ринок
Москвы, Москви
государственной, державної
язык, мова
типа, типу
ответ, відповідь
объявление, оголошення
программа, програма
федерации, федерації
той, тієї
население, населення
хочу, хочу
руки, руки
языка, мови
получили, отримали
причем, причому
Узбекистан, Узбекістан
конференции, конференції
представитель, представник
книги, книги
главный, головний
кстати, до речі
прав, прав
новая, нова
целом, цілому
начал, почав
смерти, смерті
выбор, вибір
представляет, представляє
семьи, сім'ї
сил, сил
состоянии, стані
политики, політики
хочет, хоче
закон, закон
скорее, швидше
фильм, фільм
знаю, знаю
месяца, місяці
Латвии, Латвии
ситуация, ситуація
вместо, замість
бизнеса, бізнесу
весьма, вельми
большое, велике
одновременно, одночасно
остается, залишається
труда, праці
иностранных, іноземних
обязательно, обов'язково
первое, перше
касается, стосується
путь, шлях
использования, використання
метров, метрів
создания, створення
встречи, зустрічі
армии, армії
правило, правило
прошлом, минулого
большая, велика
команда, команда
сильно, сильно
точно, точно
другими, іншими
сравнению, порівняно
качество, якість
силу, силу
данной, даної
организаций, організацій
фирмы, фірми
исследования, дослідження
последний, останній
создать, створити
месяц, місяць
председатель, голова
суда, суду
союза, союзу
зрения, зору
первом, першому
вашего, вашого
вопросам, питань
защиты, захисту
материалы, матеріали
министра, міністра
значение, значення
сожалению, жаль
автор, автор
членов, членів
первая, перша
находятся, знаходяться
государственного, державного
языке, мовою
производство, виробництво
тысячи, тисячі
состоит, складається
мировой, світової
доме, будинку
национальной, національної
народа, народу
модели, моделі
жить, жити
предлагает, пропонує
отметить, відзначити
зависит, залежить
систему, систему
точки, точки
бесплатно, безкоштовно
органов, органів
основные, основні
категории, категорії
пусть, нехай
принять, прийняти
различные, різні
говорится, йдеться
далее, далі
реализации, реалізації
поводу, приводу
дни, дні
церкви, церкви
российских, російських
напомним, нагадаємо
отношений, відносин
статьи, статті
помимо, крім
акции, акції
сторону, сторону
главы, глави
Таджикистане, Таджикистані
считают, вважають
проблема, проблема
другим, іншим
прямо, прямо
зависимости, залежно
технологии, технології
значительно, значно
составе, складі
нашем, нашому
товаров, товарів
дать, дати
никаких, ніяких
мест, місць
Эстонии, Естонії
банк, банк
закона, закону
женщина, жінка
пишет, пише
университета, університету
невозможно, неможливо
друга, друга
делает, робить
регионе, регіоні
предприятий, підприємств
Європе, Європі
степени, ступеня
недели, тижні
относительно, щодо
разделе, розділі
объем, обсяг
газа, газу
власть, влада
начало, початок
интервью, інтерв'ю
прошлого, минулого
нашим, нашим
множество, безліч
материалов, матеріалів
знает, знає
народ, народ
передает, передає
дает, дає
слово, слово
состояние, стан
основной, Основний
сотрудничества, співпраці
цель, мета
провести, провести
вашем, вашому
новое, нове
документов, документів
произошло, відбулося
Молдовы, Молдови
поле, поле
роста, зростання
создание, створіння
видов, видів
системе, системі
последнее, останнє
сотрудников, співробітників
Азии, Азії
начали, почали
специалисты, фахівці
машины, машини
вскоре, незабаром
внутри, всередині
агентство, агентство
необходимости, необхідності
глаза, очі
министерства, міністерства
положение, становище
строительства, будівництва
площади, площі
оборудование, обладнання
означает, означає
комиссии, комісії
представителей, представників
продажа, продаж
формы, форми
равно, одно
участники, учасники
выборов, виборів
площадь, площа
сообщили, повідомили
сумму, суму
государство, держава
разные, різні
служба, служба
мероприятия, заходи
каждой, кожної
работают, працюють
документы, документи
любовь, любов, кохання
своему, своєму
использование, використання
неделю, тиждень
фотографии, фотографії
специалистов, фахівців
годов, років
людям, людям
пришлось, довелося
получения, отримання
клиентов, клієнтів
тела, тіла
регистрации, реєстрації
рассказал, розповів
активно, активно
состоится, відбудеться
серии, серії
российского, російського
цвета, кольори
ночь, ніч
приходится, доводиться
поддержку, підтримку
цели, мети
факт, факт
взгляд, погляд
придется, доведеться
версии, версії
образование, утворення
помочь, допомогти
результат, результат
модель, Модель
памяти, пам'яті
главная, головна
порядке, порядку
предложения, пропозиції
Азербайджана, Азербайджану
здания, будівлі
оборудования, обладнання
работал, працював
главным, головним
подчеркнул, підкреслив
Франции, Франції
жители, жителі
проектов, проектів
годах, роках
уровне, рівні
вропы, європи
москвы, москви
мере, міру
таки, так і
таджикистане, Таджикистані
эстонии, Естонії
Европе, Європі
азии, азії
получени, получени
центральной, центральній
управление, управління
рождения, народження
гораздо, набагато
можем, можемо
правильно, правильно
курс, курс
национального, національного
вашей, вашої
интересно, цікаво
агентства, агентства
русский, російська
линии, лінії
нашли, знайшли
сотрудники, співробітники
ремонт, ремонт
каких, яких
сможете, зможете
пост, пост
сможет, зможе
региона, регіону
цен, цін
мнение, думка
руководство, керівництво
магазин, магазин
каким, яким
понять, зрозуміти
улице, вулиці
отец, батько
родился, народився
форме, формі
данного, даного
приняли, прийняли
считается, вважається
проходит, проходить
комитета, комітету
используется, використовується
меры, заходи
международных, міжнародних
новую, нову
сообщение, повідомлення
вариант, варіант
двумя, двома
тему, тему
протяжении, впродовж
случаях, випадках
Молдове, Молдові
квартиры, квартири
Тбилиси, Тбіліси
онлайн, онлайн
здоровья, здоров'я
действий, дій
страна, країна
международного, міжнародного
трудно, важко
решил, вирішив
решили, вирішили
республике, республіці
совет, порада
общество, суспільство
класса, класу
автомобилей, автомобілів
итогам, підсумками
искусства, мистецтва
план, план
организация, організація
сделал, зробив
путем, шляхом
говоря, кажучи
сын, син
сборной, збірної
принял, прийняв
школе, школі
общей, загальної
основных, основних
лицо, обличчя
вопросов, питань
технологий, технологій
клуба, клубу
систем, систем
адрес, адреса
итоге, підсумку
рода, роду
пройдет, пройде
смогут, зможуть
движение, рух
обеспечения, забезпечення
семье, сім'ї
международной, міжнародної
иначе, інакше
занимает, займає
соответственно, відповідно
готовы, готові
насколько, наскільки
большую, велику
обучения, навчання
требует, вимагає
клуб, клуб
предложение, речення
которому, якому
процессе, процесі
увидеть, побачити
россию, росію
позиции, позиції
пользователей, користувачів
казахстан, казахстан
свет, світло
автомобиля, автомобіля
данном, даному
большие, великі
фонда, фонду
животных, тварин
молдова, молдова
местных, місцевих
отдыха, відпочинку
дороги, дороги
любви, любові
историю, історію
руководитель, керівник
игра, гра
часа, години
операции, операції
принято, прийнято
другом, другом
временем, часом
наук, наук
события, події
опубликовано, опубліковано
правила, правила
ситуацию, ситуацію
столицы, столиці
автомобиль, автомобіль
способ, спосіб
телефон, телефон
комментарий, коментар
спорта, спорту
получила, отримала
взять, взяти
института, інституту
мужчин, чоловіків
домов, будинків
Украина, Україна
хотел, хотів
хотят, хочуть
общем, загалом
техники, техніки
большим, великим
сегодняшний, сьогоднішній
государств, держав
вчера, вчора
продажи, продажу
Казахстана, Казахстана
следующий, наступного
требуется, потрібно
среду, середу
наверное, напевно
спустя, через
столь, настільки
имеется, є
порядок, порядок
включая, включаючи
внимания, уваги
лучших, кращих
развитию, розвитку
знать, знати
государственных, державних
воду, воду
магазине, магазині
источник, джерело
начинает, починає
летний, річний
парламента, парламенту
море, море
рабочих, робочих
вечером, ввечері
газета, газета
хочется, хочеться
русского, російського
влияние, вплив
успешно, успішно
событий, подій
чемпионата, чемпіонату
миллиона, мільйона
абсолютно, абсолютно
характер, характер
выбрать, вибрати
ребенок, дитина
ответственность, відповідальність
здание, будівлю
самая, сама
студентов, студентів
лично, особисто
продуктов, продуктів
позволит, дозволить
сеть, мережа
возрасте, віці
столько, стільки
борьбе, боротьбі
российский, російський
названием, назвою
числа, числа
отличие, відміну
такую, таку
объявлений, оголошень
порядка, порядку
заявление, Заява
будущем, майбутньому
отмечает, відзначає
летом, влітку
область, область
смотреть, дивитися
входит, входить
какое, яке
контроль, контроль
базе, базі
дмитрий, дмитрий
крупных, великих
страну, країну
хотите, хочете
внутренних, внутрішніх
поддержки, підтримки
оказалось, виявилося
земле, землі
обеспечивает, забезпечує
поможет, допоможе
размер, розмір
вещи, речі
экономического, економічного
Баку, Баку
новым, новим
молодых, молодих
эксперты, експерти
лидер, лідер
социальной, соціальної
общего, загального
выборы, вибори
вести, вести
специально, спеціально
кожи, шкіри
играть, грати
заместитель, заступник
планируется, планується
конкурса, конкурсу
полиции, поліції
объектов, об'єктів
русской, російської
частью, частиною
остальные, інші
песни, пісні
район, район
свободы, волі
таком, такому
днем, днем
утром, вранці
фильма, фільму
моря, моря
шоу, шоу
роли, ролі
договора, договору
вода, вода
момента, моменту
местах, місцях
регион, регіон
другого, іншого
выборах, виборах
второго, другого
пару, пару
вроде, начебто
моей, моєї
честь, честь
встреча, зустріч
участия, участі
питания, живлення
объекта, об'єкта
газеты, газети
сообщения, повідомлення
причиной, причиною
оказался, виявився
книга, книга
энергии, енергії
праздник, свято
председателя, голови
виды, види
посмотреть, подивитися
никак, ніяк
недвижимости, нерухомості
час, годину
процесса, процесу
политической, політичної
